,ndvi,ndsi,ndbi,albedo,awei,gemi,LST,ndvi_lag,ndsi_lag,ndbi_lag,albedo_lag,awei_lag,gemi_lag,LST_lag,community,period,year
288,0.005519869508227905,0.07856608824208576,-0.08318602960444947,30533.022948701695,-60563.29656956689,-110169.63499167793,55344.57110273247,0.0038413747682714645,0.10614728046528561,-0.10999299197100934,33736.36173860395,-54447.40904314891,-431783.958264395,53802.10821579769,58.0,2.0,2017.0
289,0.0020961729693888035,0.10001183741108013,-0.10142189027451057,30360.462537646057,-52934.292800593765,-15557.560524385048,52004.55921307793,0.010500395670284633,0.07445956319650057,-0.08514191641962136,29342.266227647702,-58653.34579513925,-542023.800080732,53268.340259860466,59.0,2.0,2017.0
290,0.00702836940748549,0.07050081939137197,-0.07780413470152926,29320.082325973788,-61062.62450166115,-166900.84090135372,53083.032989274034,0.003837293347852891,0.09627664191110089,-0.10029565265706708,32244.59793263805,-56753.12257186711,-179719.21577740743,51922.94910779357,60.0,2.0,2017.0
291,-0.0028614002481583156,0.12643419602676012,-0.1231898457704749,36545.118974908684,-53381.35527072697,-42317.66989129429,48843.00180931498,0.0014303265239498097,0.10540495139977774,-0.1067855260704689,34926.31963344583,-58091.57227776836,-87340.95317261825,54258.84600887459,61.0,2.0,2017.0
292,-0.007293451085516994,0.1603693564813223,-0.15263844044394223,41039.69024973576,-45705.501330573614,-342615.71087307576,56290.12720296642,-0.004644683460420311,0.14923845742992553,-0.1442376024641946,39028.8224502816,-46708.656773120965,-307853.6677416677,55623.18150339483,62.0,2.0,2017.0
293,-0.0056763729075428255,0.1400640413081725,-0.13406812548477973,40695.021123702994,-53731.463963250455,-205478.26687686617,55482.60593613737,-0.004169340047713341,0.1428004744740021,-0.1382339483181697,38866.838650710124,-49146.37552751198,-267689.8798476246,54771.13534682347,63.0,2.0,2017.0
294,-0.009307646472720407,0.20070802172503524,-0.19153683187090947,43291.246638637684,-31531.289797444275,-620091.0685431567,56221.33578286119,-0.007835645647288348,0.17236904335940095,-0.16405666615575548,41164.06728160106,-41003.864778627125,-409403.70061519044,56019.11181683268,64.0,2.0,2017.0
295,-0.009935323189794884,0.1775681190062737,-0.16635712945210665,40923.21257969186,-38585.62204446538,-623956.6446963662,56190.00284702268,-0.007321563225484192,0.1714457668686873,-0.1638889146450478,41718.63732747555,-41915.02128085306,-370842.2911021593,55862.23318607693,65.0,2.0,2017.0
296,-0.007830036441832717,0.18064631561443156,-0.17286003352862722,43399.21604319043,-39827.64900237059,-442695.16981351655,55737.696704174705,-0.005539042193960606,0.1517284222959432,-0.1453402830258947,39673.23723015831,-47597.534351707174,-248881.09943882056,56041.493510349035,66.0,2.0,2017.0
297,-0.0026156988292050406,0.1332187714731392,-0.13117221110941782,40760.77110803233,-56814.828947368434,-44384.448819816986,56221.412414729566,-0.0029359540000945426,0.13585792758269966,-0.13253496938910825,38594.09917545691,-52263.05090975839,-155486.38812921452,54625.39378115907,67.0,2.0,2017.0
